Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-11-09;18,5245;19,8177;18,5245;19,6794;2.403;46.171
2016-11-08;19,2061;19,2665;19,1526;19,2665;2.306;44.282
2016-11-07;18,9315;19,2081;18,9315;19,2081;696;13.294
2016-11-04;18,7105;18,7786;18,653;18,653;407;7.605
2016-11-03;18,7796;18,8974;18,6871;18,6871;408;7.668
2016-11-02;18,9091;18,9101;18,7796;18,7796;1.110;20.947
2016-11-01;19,1623;19,1623;18,9403;18,9744;1.917;36.632
2016-10-31;19,3503;19,395;19,3249;19,3249;647;12.514
2016-10-28;19,4272;19,4496;19,4213;19,4496;92;1.796
2016-10-27;19,4759;19,4827;19,4545;19,4545;592;11.509
2016-10-26;19,5187;19,5635;19,4437;19,5635;482;9.404
2016-10-25;19,6862;19,7096;19,6862;19,7096;968;19.071
2016-10-24;19,5343;19,6852;19,5343;19,6619;2.603;50.992
2016-10-21;19,5304;19,5304;19,5304;19,5304;31;602
2016-10-20;19,4652;19,5255;19,4428;19,5255;770;15.027
2016-10-19;19,3113;19,4905;19,3113;19,4564;1.161;22.563
2016-10-18;19,3386;19,4223;19,3386;19,4223;427;8.295
2016-10-17;19,2626;19,287;19,2305;19,2373;4.103;78.965
2016-10-14;19,2685;19,3931;19,2685;19,3931;113;2.185
2016-10-13;19,0961;19,2276;19,0961;19,2276;2.289;43.739
2016-10-12;19,2597;19,2597;19,2597;19,2597;31;593
2016-10-11;19,2714;19,2714;19,2714;19,2714;46;891
2016-10-10;19,1847;19,3035;19,1847;19,3035;456;8.787
2016-10-07;19,2899;19,2899;19,1535;19,1584;708;13.609
2016-10-06;19,286;19,286;19,286;19,286;2;40
2016-10-05;19,063;19,0649;19,063;19,0649;53;1.018
2016-10-04;19,2052;19,2052;19,2052;19,2052;195;3.750
2016-10-03;19,1195;19,1195;19,1195;19,1195;72;1.374
2016-09-30;19,0338;19,2198;19,0338;19,2198;1.742;33.411
2016-09-29;19,2266;19,2266;19,0717;19,0717;391;7.514
2016-09-28;19,1633;19,1633;19,1399;19,1399;1.130;21.645
2016-09-27;19,062;19,135;19,0474;19,135;1.714;32.680
2016-09-26;19,0864;19,0864;18,9257;18,9257;288;5.460
2016-09-22;19,1214;19,2032;19,1214;19,2032;126;2.417
2016-09-21;19,1497;19,1497;19,1117;19,1253;254;4.852
2016-09-20;19,0795;19,0795;19,0795;19,0795;42;803
2016-09-19;19,174;19,174;19,1107;19,1107;729;13.952
2016-09-16;18,9471;18,9471;18,9471;18,9471;52;992
2016-09-14;18,8984;18,8984;18,8283;18,8283;3.113;58.771
2016-09-13;18,8916;18,8916;18,8916;18,8916;205;3.880
2016-09-12;18,6569;19,0717;18,6559;19,0717;6.340;118.373
2016-09-09;19,1506;19,1584;18,8526;18,8526;3.361;64.058
2016-09-07;19,2801;19,2977;19,2801;19,2977;129;2.495
2016-09-06;19,3843;19,3843;19,2178;19,2178;1.701;32.948
2016-09-05;19,397;19,4116;19,397;19,4116;459;8.908
2016-09-02;19,2363;19,2363;19,2363;19,2363;27;514
2016-09-01;19,3415;19,3415;19,3415;19,3415;10;199
2016-08-31;19,3055;19,3055;19,3055;19,3055;78;1.507
2016-08-30;19,3746;19,3746;19,3736;19,3736;177;3.422
2016-08-26;19,1204;19,1204;19,1204;19,1204;822;15.708
2016-08-25;19,136;19,136;19,136;19,136;62;1.179
2016-08-24;19,1993;19,2714;19,1983;19,1983;1.904;36.687
2016-08-23;19,1506;19,1506;19,1467;19,1467;313;5.997
2016-08-22;19,0708;19,1828;19,0708;19,1302;196;3.752
2016-08-18;19,1204;19,1204;19,1204;19,1204;6;118
2016-08-17;19,172;19,172;19,172;19,172;51;984
2016-08-16;19,4028;19,4028;19,2412;19,2412;205;3.977
2016-08-15;19,4574;19,4574;19,397;19,4174;614;11.929
2016-08-12;19,4778;19,4778;19,4262;19,4262;180;3.493
2016-08-11;19,3639;19,3639;19,3639;19,3639;103;1.989
2016-08-10;19,3201;19,3201;19,2957;19,2957;960;18.535
2016-08-09;19,4496;19,507;19,4097;19,4097;7.198;140.299
2016-08-08;19,5265;19,5265;19,5158;19,5158;1.208;23.579
2016-08-05;19,2782;19,5187;19,2782;19,5187;750;14.520
2016-08-04;19,2344;19,3064;19,2344;19,3064;1.090;20.975
2016-08-03;19,0416;19,1117;19,0416;19,1117;51;981
2016-08-02;19,1594;19,1594;19,1175;19,1565;486;9.300
2016-08-01;19,3707;19,3707;19,2081;19,2081;359;6.936
2016-07-29;19,3347;19,3347;19,2061;19,3055;5.491;105.525
2016-07-28;19,4408;19,4408;19,2957;19,2957;1.042;20.204
2016-07-27;19,5733;19,5733;19,3882;19,3882;359;7.019
2016-07-26;19,4671;19,5966;19,4671;19,5966;307;6.000
2016-07-25;19,621;19,621;19,4447;19,4447;1.309;25.561
2016-07-21;19,5148;19,5246;19,5148;19,5246;128;2.505
2016-07-20;19,4622;19,5401;19,4622;19,4983;221;4.308
2016-07-19;19,3532;19,4213;19,3483;19,4213;70;1.353
2016-07-18;19,36;19,3756;19,36;19,3756;257;4.973
2016-07-15;19,1837;19,3785;19,1837;19,3103;335;6.475
2016-07-14;19,3045;19,323;19,2947;19,323;654;12.636
2016-07-13;19,25;19,25;19,25;19,25;62;1.186
2016-07-12;19,1253;19,2422;19,1253;19,2422;5.731;109.721
2016-07-11;19,1857;19,1857;19,1049;19,1399;1.548;29.640
2016-07-08;18,7085;18,9598;18,7085;18,9598;879;16.556
2016-07-07;18,7699;18,7699;18,7699;18,7699;26;482
2016-07-06;18,6803;18,6803;18,5566;18,5566;809;15.044
2016-07-05;18,5643;18,6327;18,5634;18,6327;946;17.596
2016-07-04;18,6654;18,7723;18,6654;18,7337;622;11.629
2016-07-01;18,6644;18,6644;18,6115;18,6346;887;16.521
2016-06-30;18,494;18,494;18,4748;18,4748;410;7.586
2016-06-29;18,1658;18,2649;18,1658;18,2649;1.278;23.301
2016-06-28;17,9588;18,1696;17,9588;18,1696;612;10.999
2016-06-27;18,289;18,289;17,9569;17,9569;1.674;30.386
2016-06-24;16,4195;18,3843;16,4195;18,2765;2.548;43.891
2016-06-23;18,3371;18,3371;18,2745;18,2794;755;13.818
