Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-02-24;28,9811;28,9811;28,9811;28,9811;;
2016-02-23;29,6648;29,6648;29,6648;29,6648;;
2016-02-22;30,0295;30,0295;30,0295;30,0295;;
2016-02-19;29,5372;29,5372;29,5372;29,5372;;
2016-02-18;29,7651;29,7651;29,7651;29,7651;;
2016-02-17;29,7286;29,7286;29,7286;29,7286;;
2016-02-16;28,972;28,972;28,972;28,972;;
2016-02-15;29,0996;29,0996;29,0996;29,0996;;
2016-02-12;28,2518;28,2518;28,2518;28,2518;;
2016-02-11;27,4586;27,4586;27,4586;27,4586;;
2016-02-10;28,4979;28,4979;28,4979;28,4979;;
2016-02-09;27,9692;27,9692;27,9692;27,9692;;
